epoch,train_loss,train_acc
0,0.8388,0.6739
1,0.5973,0.7708
2,0.5424,0.7909
3,0.5415,0.792
4,0.5594,0.7861
5,0.5762,0.7794
6,0.5941,0.7741
7,0.6056,0.7695
8,0.62,0.7638
9,0.6297,0.7601
10,0.5904,0.7755
11,0.5935,0.7764
12,0.5984,0.7721
13,0.604,0.7728
14,0.6077,0.7696
15,0.6065,0.7729
16,0.6091,0.7667
17,0.609,0.7675
18,0.6091,0.7712
19,0.6112,0.7687
20,0.565,0.7873
21,0.5715,0.7829
22,0.5671,0.7871
23,0.5623,0.7893
24,0.5648,0.7881
25,0.568,0.7849
26,0.5663,0.7851
27,0.5607,0.7884
28,0.5595,0.7886
29,0.5643,0.7884
